"0","70","Discuss","Discuss stay machine","Culture culture final might","46.62","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","3.2"
"1","3","Back","Back better","Day fly","28.96","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","4.8"
"2","95","future","Population process future else","Process almost","178.00","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","4.5"
"3","23","meet","Should two meet","Close every just least democratic","419.23","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","143","true","5.3"
"4","10","Last","Last generation across","Reduce analysis affect task","468.73","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","368","true","3.4"
"5","74","who","Physical who","Husband heavy stuff cover","465.38","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","5.3"
"6","6","Everything","Everything those","Second listen western treatment early","481.03","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","178","true","4.4"
"7","51","enough","Party enough risk","Nor range","421.66","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","5.9"
"8","28","adult","Down adult coach represent","Enough each technology hot tax","193.41","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","5.6"
"9","51","positive","Stand positive record","Game least","443.18","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","4.1"
"10","32","environmental","Clear environmental near","Walk child loss our","198.85","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","6","true","2.0"
"11","77","Much","Much think environmental floor","Side part west hold","235.87","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","2.2"
"12","49","Design","Design institution","Quality author","407.90","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","116","true","3.1"
"13","27","Company","Company cover","Happy bad economic voice trial","345.35","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","282","true","4.3"
"14","10","reduce","Top total reduce","Draw opportunity station ability","432.39","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","547","true","1.0"
"15","83","relationship","Sister relationship plan your","Sea other set meet","82.63","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","372","true","1.7"
"16","60","value","Individual compare where value team","Would author pressure","16.44","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwWxCMRrygVbR-7SLPx5N44x4I6BQjDDzWVAvEUZI3&s","0","false","3.9"
