"16","607","3","Then total"
"16","1071","4","Account listen young"
"16","160","3","Home thousand big fact entire"
"16","1673","4","Although address we development"
"16","1893","4","Strategy vote"
"16","1962","2","Share leg yeah"
"16","483","3","Serve middle leave interest"
"16","1370","1","Military education job"
"16","535","3","Traditional how public"
"66","706","4","Stand final lay"
"66","1325","2","Discover type forward"
"66","1113","4","Democrat ok attention figure"
"66","1606","5","Become wonder"
"66","977","3","Ground produce certain really defense"
"66","86","3","Care dog"
"66","90","2","Make do free"
"66","871","2","Direction network house allow difficult"
"66","1507","1","Hope give ahead coach"
"66","1360","1","Property new recently because project"
"66","1650","1","Back of"
"66","289","2","Theory American"
"66","1458","1","Wife forward evening"
"66","1138","3","Leg former media writer"
"38","966","1","Director arrive"
"38","1844","2","Only say friend possible"
"38","1766","1","Animal cover"
"38","1037","3","Big buy use"
"38","1543","2","Ten establish present why our"
"38","1710","1","Relationship seem can"
"38","406","1","House rise choose their"
"38","637","3","Interesting commercial color"
"38","1567","3","Morning general ball"
"38","791","1","Nearly standard during name may"
"38","922","1","Image stop watch"
"38","785","4","Fire learn activity red toward"
"38","856","1","Fear student own"
"38","1079","3","Truth reduce interesting"
"47","99","3","Technology speech can face old"
"47","468","3","Mind but energy"
"69","1586","3","Senior raise probably say than"
"69","65","1","Court everyone himself"
"69","1538","4","Ok newspaper top however friend"
"3","1695","1","Church way game success"
"3","651","3","Realize base institution home enough"
"29","1328","2","His art glass section"
"29","1729","1","Eat often"
"29","763","5","Message must respond"
"29","1884","2","Fall themselves training high"
"29","827","5","Risk read us produce"
"29","876","4","Growth serve son"
"29","792","4","Million wish source many"
"29","1229","4","Road prepare stage tough"
"29","1113","5","When soon soon"
"29","1875","1","Church painting leg attention such"
"29","914","1","Tell policy position"
"29","1996","1","Bank table point"
"29","141","5","Itself commercial"
"29","1137","5","For fall he she red"
"39","1678","3","Either especially"
"39","563","2","Nation six budget general"
"39","802","2","Business run"
"39","1147","4","At expect offer personal pattern"
"39","13","3","Point participant how lot lawyer"
"39","674","2","Final why receive"
"39","431","3","Sister let everyone"
"39","375","1","Hotel air"
"39","1928","4","Not movement night"
"39","101","2","Among your they position foot"
"39","204","2","Continue rich themselves create point"
"39","705","5","Send tend support himself trip"
"39","755","3","Big speech thought song"
"39","564","1","Rich along"
"39","1210","4","Good certainly front add despite"
"39","340","1","Peace walk sure together"
"39","134","5","Foreign stand choose"
"39","737","5","Culture yeah others it"
"39","399","1","Year these"
"39","1605","1","Enter economic"
"39","1877","4","Son human"
"80","679","4","Lot politics add"
"80","1555","2","Example expect front prevent"
"80","1550","4","Instead firm few"
"80","283","5","Discussion else hit able"
"81","1889","1","Property tax"
"81","1500","4","But daughter"
"81","485","3","Value stock teach evening radio"
"81","1479","5","Create street wait science"
"81","1095","5","Decide clearly Congress easy"
"81","489","1","Need scene"
"81","303","1","Arrive go stay might point"
"81","1055","4","Lay size"
"81","700","3","Evidence others rather the"
"81","1348","5","Rock out"
"60","1919","5","Usually already morning couple"
"60","935","2","Cut early appear"
"60","663","5","Very get book door"
"60","390","4","Must include support explain admit"
"60","1811","2","At nearly according be part"
"60","1901","4","Concern democratic claim"
"60","660","1","Under wind country"
